Unnamed: 0,Направление,Дата создания,Текст
0,Благоустройство,2022-02-23,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься...<br>Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!"
1,Благоустройство,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3😡"
2,Благоустройство,2022-02-23,"Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда ещё писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать..."
3,Благоустройство,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лёд и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
4,Благоустройство,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лёд по которому невозможно ходить. Прошу принять меры по этому вопросу"
5,Благоустройство,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет"
6,Благоустройство,2022-02-23,"[club82032767|Невский район Санкт-Петербурга] как людям пробираться к своим подъездам🤦‍♀️ Кто контролирует работу, за что люди платят, дворники перестали существовать🤦‍♀️"
7,Благоустройство,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14."
8,Благоустройство,2022-02-23,"Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а всё как было так и осталось😭 Трактор постоял, мото-часы помотал (зп же именно за мото-часы платят😂) и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку"
9,Дороги,2022-02-23,"У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадёшь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию (а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?"
10,Дороги,2022-02-23,"[id919566|Лена], 🤦‍♀️ мне обещали сначала до 11.02, потом до 18.02, в итоге 0, никакой уборки не было , и похоже не будет 🤷‍♀️"
11,Дороги,2022-02-23,"[id4604890|Наталья], сейчас все растает и они напишут что убрали. Как уже было в январе, когда на улице был + лёд растаял на наших ступенях крыльца дома, и у дома, со ступеней мы сами с младшим скинули остатки льда, это было 13 января, а до этого был лёд и я писала, 14 января они мне ответили что на 13 января все чисто! И ведь не стыдно это писать!"
12,Благоустройство,2022-02-23,Здравствуйте уважаемый Александр Дмитриевич ! <br>Зима ещё не ушла а проблемы осталось ! <br>❄Просим от жителей и пожилых людей уброть от льда и песком обработать ул Авангардная д23 внутриквартальный проездо с двух сторон ул Авангардная д23 д 14 в ближайшие недели февраль март <br>Спасибо Подрядчику убирают нормально фото где нужно убрать . спасибо 💢
13,Благоустройство,2022-02-23,"Так,а что с уборкой снега по адресу: Петергофское шоссе дом 15 к 2? Два раза уже отписки писали. Последнее обещание было на 18.02.22. И где выполненная Вами работа? Сколько жалоб надо еще написать,чтоб вы начали работать? Уволить вас всех надо!"
14,Благоустройство,2022-02-23,"А дворы в Петербурге все также не убирают, мусор вывозят по жалобе с задержками, кругом грязь!"
15,Благоустройство,2022-02-23,Рижский проспект 62 все газоны завалены снегом и с 01.12.2021 года его ни разу не вывозили.<br>УК Стилес😡
16,Благоустройство,2022-02-23,"Добрый вечер! Ну вот прошла ещё одна неделя и снег не убран (((второе обещание от ЖКС 3 ,убрать до конца предыдущей недели, не сработало ((((((((<br>30 января !!!!!!!!!!отправляла заявку ,но большому сожалению, так нечего и не убрано !!!!"
17,Благоустройство,2022-02-23,"[id437734987|Наталья], какая работа ведётся?????<br>У нас во дворе снег счистили вместе асфальтом…. Это можно увидеть своими глазами, особенно, когда весной снег стает… само не рассосётся…."
18,Благоустройство,2022-02-23,"Даже штрафы есть, а эффекта не видно. Очень хочется увидеть итоговый отчёт после зимы, какие выводы сделаны, какие меры будут приняты, ну и ответственность за невыполнение."
19,Дворы и территории общего пользования,2022-02-23,"Бульвар-Новаторов дома 26/2 и 24/2 не убирают территорию,ни пешком,ни на машине проехать не возможно. Машину ремонтирую дважды за зиму,ребенок ходить нормально не может,падает. Как прекратить этот беспредел"
20,Дворы и территории общего пользования,2022-02-23,"Страшно ездить во дворе. Ещё пару дней и можно будет только на автомобиле с гусеничным движителем заехать. Реакция конечно на обращения есть, но почему нельзя это делать не после обращения, а в качестве обычной ежедневной работы, путём расстановки приоритетов, чтобы не писали люди что всё плохо. В суд подавать когда случайно из-за того, что творится во дворах, задену чей-нибудь автомобиль. Делайте для граждан, вы для этого и есть, а не граждане для вас."
