doc_index,appeal_id,entity,normalized,entity_type,category,address,date,context
0,appeal_000000,дворовая территория,дворовая территория,object,благоустройство,,2022-02-23,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься... Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!"
0,appeal_000000,жители,жители,actor,благоустройство,,2022-02-23,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься... Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!"
0,appeal_000000,сообщает о проблеме,сообщает о проблеме,action,благоустройство,,2022-02-23,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься... Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!"
0,appeal_000000,проблемный сигнал,проблемный сигнал,problem_anchor,благоустройство,,2022-02-23,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься... Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!"
0,appeal_000000,благоустройство,благоустройство,theme,благоустройство,,2022-02-23,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься... Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!"
1,appeal_000001,дворовая территория,дворовая территория,object,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3"
1,appeal_000001,снег и наледь,снег и наледь,object,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3"
1,appeal_000001,здание/дом,здание/дом,object,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3"
1,appeal_000001,жители,жители,actor,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3"
1,appeal_000001,не убирает,не убирает,action,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3"
1,appeal_000001,нарушение содержания территории,нарушение содержания территории,problem_anchor,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3"
1,appeal_000001,благоустройство,благоустройство,theme,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3"
1,appeal_000001,энгельса 126 корпус 3,энгельса 126 корпус 3,territory,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3"
2,appeal_000002,жители,жители,actor,благоустройство,,2022-02-23,"Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда еще писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать..."
2,appeal_000002,не устраняет,не устраняет,action,благоустройство,,2022-02-23,"Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда еще писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать..."
2,appeal_000002,бездействие исполнителя,бездействие исполнителя,problem_anchor,благоустройство,,2022-02-23,"Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда еще писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать..."
2,appeal_000002,благоустройство,благоустройство,theme,благоустройство,,2022-02-23,"Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда еще писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать..."
3,appeal_000003,снег и наледь,снег и наледь,object,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
3,appeal_000003,жители,жители,actor,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
3,appeal_000003,не убирает,не убирает,action,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
3,appeal_000003,затоплено,затоплено,action,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
3,appeal_000003,нарушение содержания территории,нарушение содержания территории,problem_anchor,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
3,appeal_000003,затопление/протечка,затопление/протечка,problem_anchor,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
3,appeal_000003,благоустройство,благоустройство,theme,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
3,appeal_000003,елизарова 31,елизарова 31,territory,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил."
4,appeal_000004,дворовая территория,дворовая территория,object,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
4,appeal_000004,снег и наледь,снег и наледь,object,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
4,appeal_000004,дорога,дорога,object,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
4,appeal_000004,здание/дом,здание/дом,object,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
4,appeal_000004,жители,жители,actor,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
4,appeal_000004,сообщает о проблеме,сообщает о проблеме,action,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
4,appeal_000004,проблемный сигнал,проблемный сигнал,problem_anchor,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
4,appeal_000004,благоустройство,благоустройство,theme,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
4,appeal_000004,улице евдокима огнева 22,улице евдокима огнева 22,territory,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу"
5,appeal_000005,дворовая территория,дворовая территория,object,благоустройство,раз по телефону 004,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет"
5,appeal_000005,снег и наледь,снег и наледь,object,благоустройство,раз по телефону 004,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет"
5,appeal_000005,жители,жители,actor,благоустройство,раз по телефону 004,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет"
5,appeal_000005,отсутствует,отсутствует,action,благоустройство,раз по телефону 004,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет"
5,appeal_000005,нарушение содержания территории,нарушение содержания территории,problem_anchor,благоустройство,раз по телефону 004,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет"
