entity_type,normalized,count
action,сообщает о проблеме,259
action,задержано,85
action,не убирает,65
action,отсутствует,65
action,загрязнено,46
action,затоплено,32
action,опасно,32
action,повреждено,28
action,не устраняет,12
action,не работает,6
actor,жители,457
actor,управляющая компания,61
actor,администрация,11
actor,подрядчик,5
object,здание/дом,131
object,снег и наледь,130
object,дорога,104
object,дворовая территория,77
object,парк/сквер,66
object,мусор,50
object,общественный транспорт,30
object,тротуар,21
object,освещение,12
object,подъезд,12
object,водоснабжение,9
object,отопление,3
object,лифт,2
object,детская площадка,1
object,крыша,1
problem_anchor,проблемный сигнал,309
problem_anchor,нарушение содержания территории,134
problem_anchor,затопление/протечка,34
problem_anchor,аварийное состояние,31
problem_anchor,бездействие исполнителя,30
problem_anchor,отсутствие услуги,11
problem_anchor,техническая неисправность,6
territory,большая пороховская 56,2
territory,сегодня 23,2
territory,ул летчика лихолетова 14/2,2
territory,автобус нарушая пдд 12,1
territory,адресу пограничника гарькавого 28,1
territory,арка меду 4,1
territory,арки по ростовской 14-16,1
territory,бабушкина 52,1
territory,беспридела в жкс 2,1
territory,болела и вызывала 24,1
territory,большевиков 33,1
territory,бульвар трудящихся дом 17,1
territory,во дворах чудновского 2/11,1
territory,во дворе чудновского 2/11,1
territory,ворошилова 25/1,1
territory,вы с осени 2021,1
territory,вы с сентября 2021,1
territory,выплаты как малоимущие 2,1
territory,гатчинское шоссе 12кор,1
territory,где было 8,1
territory,глубиной до 40,1
territory,го декабря 2021,1
territory,гололед вокруг дома 13,1
territory,городе только 100,1
territory,гражданский 105,1
territory,дальневосточный проспект дом 80,1
territory,дворе евдокима огнева 22,1
territory,дворе улицы добровольцев 48,1
territory,дворового колодца до 2,1
territory,декабря 21г,1
territory,диабетом выписывают по 3,1
territory,до 1,1
territory,до асфальта добровольцев 24,1
territory,долгах свыше 500,1
territory,долго более 10,1
territory,должен платить на 1,1
territory,дольщица 2,1
territory,дом 4,1
territory,дом по стачек 212 корпус 2,1
territory,дом постройки 1988,1
territory,дома 12,1
territory,дома 25-этажные,1
territory,дома искровский проспект 6,1
territory,дома по костромскому 42,1
territory,дома проезд 5-й,1
territory,домами гатчинскоге шоссе 2,1
territory,домов колейность в 20,1
territory,домом ленинмкий 67к1,1
territory,дорог уже лет 6,1
territory,дороге от дома 28,1
territory,дублирование его автобусами 1,1
territory,елизарова 31,1
territory,есть квартира и 2,1
territory,же заменят маршрутку 289,1
territory,жильцы дома 9,1
territory,за фомина 14,1
territory,заявка по телефону 6040000,1
territory,заявка принята 2февраля,1
territory,заявки на 004,1
territory,звездная 14,1
territory,здравствуйте 21,1
territory,из льда составляет 15,1
territory,как 90-е,1
territory,катерников 7,1
territory,конце января 1,1
territory,корпус 2,1
territory,кубика улице ткачей 46,1
territory,лед вдоль домов 20-40,1
territory,ленинский 74-76,1
territory,ленинский проспект 77,1
territory,летом 2021,1
territory,лыжный 8,1
territory,между домами союзный 10,1
territory,мини трактор через 10,1
