Узел,Тип,Degree,In_Degree,Out_Degree,Betweenness,Степень
здание/дом,object,1.9375812743823146,0.8088426527958388,1.1287386215864759,0.01824748101213072,1490
снег и наледь,object,1.8283485045513654,0.7802340702210664,1.048114434330299,0.014418651311633267,1406
жители,actor,1.6280884265279585,0.0,1.6280884265279585,0.0,1252
нарушение содержания территории,problem_anchor,1.6020806241872563,1.6020806241872563,0.0,0.0,1232
дорога,object,1.293888166449935,0.5565669700910273,0.7373211963589077,0.008112682450042251,995
проблемный сигнал,problem_anchor,1.209362808842653,1.209362808842653,0.0,0.0,930
дворовая территория,object,1.048114434330299,0.44213263979193757,0.6059817945383615,0.005497038195754061,806
благоустройство,theme,1.0,0.9024707412223667,0.0975292587776333,0.002638976475101922,769
мусор,object,0.7945383615084526,0.34850455136540964,0.44603381014304294,0.0020414175561891752,611
парк/сквер,object,0.7152145643693109,0.31469440832249673,0.40052015604681407,0.0036074793576165083,550
жилищно-коммунальное,theme,0.6983094928478544,0.6983094928478544,0.0,0.0,537
затопление/протечка,problem_anchor,0.5617685305591678,0.5617685305591678,0.0,0.0,432
бездействие исполнителя,problem_anchor,0.44213263979193757,0.44213263979193757,0.0,0.0,340
управляющая компания,actor,0.4265279583875163,0.0,0.4265279583875163,0.0,328
общественный транспорт,object,0.33810143042912877,0.1482444733420026,0.18985695708712613,0.0007390937820066558,260
инфраструктура,theme,0.32769830949284784,0.32769830949284784,0.0,0.0,252
аварийное состояние,problem_anchor,0.3198959687906372,0.3198959687906372,0.0,0.0,246
водоснабжение,object,0.23016905071521457,0.09362808842652796,0.13654096228868662,0.00012593642510742641,177
тротуар,object,0.23016905071521457,0.0988296488946684,0.13133940182054615,0.0002964459939833802,177
подъезд,object,0.2197659297789337,0.09362808842652796,0.12613784135240572,0.00021830200379859027,169
appeal_000347,appeal,0.2106631989596879,0.0,0.2106631989596879,0.0,162
освещение,object,0.20026007802340703,0.0858257477243173,0.11443433029908973,0.00019456295718080503,154
appeal_000421,appeal,0.18725617685305593,0.0,0.18725617685305593,0.0,144
appeal_000332,appeal,0.18725617685305593,0.0,0.18725617685305593,0.0,144
appeal_000094,appeal,0.18725617685305593,0.0,0.18725617685305593,0.0,144
дороги,theme,0.17425227568270482,0.0975292587776333,0.07672301690507152,0.00047411483809199997,134
appeal_000430,appeal,0.15604681404421328,0.0,0.15604681404421328,0.0,120
декабря 21г,territory,0.14044213263979194,0.14044213263979194,0.0,0.0,108
очистке крыши дома 52,territory,0.12483745123537061,0.12483745123537061,0.0,0.0,96
сосновское на есенина 7к1,territory,0.12483745123537061,0.12483745123537061,0.0,0.0,96
appeal_000455,appeal,0.12483745123537061,0.0,0.12483745123537061,0.0,96
дом по стачек 212 корпус 2,territory,0.12483745123537061,0.12483745123537061,0.0,0.0,96
социальное обслуживание и защита,theme,0.11313394018205462,0.05851755526657997,0.054616384915474644,0.00011721253644611901,87
ул летчика лихолетова 14/2,territory,0.11183355006501951,0.11183355006501951,0.0,0.0,86
отсутствие услуги,problem_anchor,0.10663198959687907,0.10663198959687907,0.0,0.0,82
appeal_000046,appeal,0.10533159947984395,0.0,0.10533159947984395,0.0,81
appeal_000343,appeal,0.10533159947984395,0.0,0.10533159947984395,0.0,81
писала обращение 174963796,territory,0.10403120936280885,0.10403120936280885,0.0,0.0,80
appeal_000211,appeal,0.10403120936280885,0.0,0.10403120936280885,0.0,80
дворы и территории общего пользования,theme,0.10013003901170352,0.05851755526657997,0.04161248374512354,0.00011449125367871303,77
appeal_000403,appeal,0.09362808842652796,0.0,0.09362808842652796,0.0,72
образование,theme,0.08842652795838751,0.04681404421326398,0.04161248374512354,0.00014921577167594722,68
торговля,theme,0.08452535760728219,0.05071521456436931,0.033810143042912875,4.3415802518533334e-08,65
уже 2,territory,0.08322496749024708,0.08322496749024708,0.0,0.0,64
жкх,theme,0.08322496749024708,0.04291287386215865,0.04031209362808843,0.00011759351011321913,64
транспорт,theme,0.0741222366710013,0.0741222366710013,0.0,0.0,57
отопление,object,0.07152145643693109,0.02860858257477243,0.04291287386215865,2.2126873150930368e-05,55
appeal_000341,appeal,0.07022106631989597,0.0,0.07022106631989597,0.0,54
заявки на 004,territory,0.07022106631989597,0.07022106631989597,0.0,0.0,54
appeal_000465,appeal,0.07022106631989597,0.0,0.07022106631989597,0.0,54
appeal_000067,appeal,0.07022106631989597,0.0,0.07022106631989597,0.0,54
appeal_000322,appeal,0.07022106631989597,0.0,0.07022106631989597,0.0,54
appeal_000359,appeal,0.07022106631989597,0.0,0.07022106631989597,0.0,54
appeal_000436,appeal,0.07022106631989597,0.0,0.07022106631989597,0.0,54
appeal_000481,appeal,0.07022106631989597,0.0,0.07022106631989597,0.0,54
здравоохранение/медицина,theme,0.06762028608582575,0.035110533159947985,0.032509752925877766,7.127138141442433e-05,52
appeal_000292,appeal,0.06241872561768531,0.0,0.06241872561768531,0.0,48
appeal_000422,appeal,0.06241872561768531,0.0,0.06241872561768531,0.0,48
безопасность,theme,0.06241872561768531,0.054616384915474644,0.007802340702210663,4.3415802518533334e-08,48
appeal_000492,appeal,0.06241872561768531,0.0,0.06241872561768531,0.0,48
проезд между домами 55,territory,0.06241872561768531,0.06241872561768531,0.0,0.0,48
appeal_000208,appeal,0.06241872561768531,0.0,0.06241872561768531,0.0,48
appeal_000273,appeal,0.06241872561768531,0.0,0.06241872561768531,0.0,48
appeal_000281,appeal,0.06241872561768531,0.0,0.06241872561768531,0.0,48
автомобильные дороги,theme,0.05851755526657997,0.035110533159947985,0.02340702210663199,1.3748337464202222e-07,45
администрация,actor,0.054616384915474644,0.0,0.054616384915474644,0.0,42
дома по костромскому 42,territory,0.04681404421326398,0.04681404421326398,0.0,0.0,36
