candidate_id,Проблема,Тип_проблемы,Complexity_score,Частота_упоминаний,Количество_субъектов,Количество_действий,Количество_связей,Плотность_подграфа,Территории,Проблемные_признаки,Ключевые_сущности,Действия,Подтверждающие_обращения
kp_0001,снег и наледь: нарушение содержания территории,благоустройство,0.396,85,3,9,153,0.11443,очистке крыши дома 52; сосновское на есенина 7к1; ул летчика лихолетова 14/2; дом по стачек 212 корпус 2; писала обращение 174963796; улица джона рида дом 7; заявки на 004; проезд между домами 55,нарушение содержания территории,снег и наледь; жители; управляющая компания; подрядчик; нарушение содержания территории; очистке крыши дома 52; сосновское на есенина 7к1; ул летчика лихолетова 14/2; дом по стачек 212 корпус 2; писала обращение 174963796; улица джона рида дом 7; заявки на 004,не убирает; сообщает о проблеме; задержано; затоплено; отсутствует; повреждено; опасно; загрязнено; не устраняет,85
kp_0002,здание/дом: нарушение содержания территории,жилищно-коммунальное,0.374,52,3,10,118,0.209622,очистке крыши дома 52; сосновское на есенина 7к1; дом по стачек 212 корпус 2; ул летчика лихолетова 14/2; мусорной реформы от 01; ярослава гашека лом 12/100; писала обращение 174963796; улица джона рида дом 7,нарушение содержания территории,здание/дом; жители; управляющая компания; подрядчик; нарушение содержания территории; очистке крыши дома 52; сосновское на есенина 7к1; дом по стачек 212 корпус 2; ул летчика лихолетова 14/2; мусорной реформы от 01; ярослава гашека лом 12/100; писала обращение 174963796,не убирает; загрязнено; задержано; затоплено; отсутствует; опасно; повреждено; сообщает о проблеме; не устраняет; не работает,52
kp_0003,дорога: нарушение содержания территории,инфраструктура,0.373,34,2,10,77,0.356831,сосновское на есенина 7к1; уже 2; дом по стачек 212 корпус 2; писала обращение 174963796; по адресу бухарестская 31-5; ул. беринга 3; проезд между домами 55; на энергетиков в 60х,нарушение содержания территории,дорога; жители; управляющая компания; нарушение содержания территории; сосновское на есенина 7к1; уже 2; дом по стачек 212 корпус 2; писала обращение 174963796; по адресу бухарестская 31-5; ул. беринга 3; проезд между домами 55; на энергетиков в 60х,не убирает; задержано; загрязнено; повреждено; затоплено; отсутствует; опасно; сообщает о проблеме; не устраняет; не работает,34
kp_0004,дворовая территория: нарушение содержания территории,благоустройство,0.355,38,3,9,79,0.285777,сосновское на есенина 7к1; ул летчика лихолетова 14/2; дом по стачек 212 корпус 2; писала обращение 174963796; улица джона рида дом 7; заявки на 004; ул. дыбенко 27-3; улица ивановская 36,нарушение содержания территории,дворовая территория; жители; управляющая компания; подрядчик; нарушение содержания территории; сосновское на есенина 7к1; ул летчика лихолетова 14/2; дом по стачек 212 корпус 2; писала обращение 174963796; улица джона рида дом 7; заявки на 004; ул. дыбенко 27-3,не убирает; задержано; загрязнено; отсутствует; затоплено; сообщает о проблеме; опасно; не устраняет; повреждено,38
kp_0005,мусор: нарушение содержания территории,жилищно-коммунальное,0.345,40,2,9,87,0.246721,сосновское на есенина 7к1; ул летчика лихолетова 14/2; мусорной реформы от 01; на работу в 5-30; ни разу за 2; ул. беринга 3; ул. дыбенко 27-3; шоссе дома с 170,нарушение содержания территории,мусор; жители; управляющая компания; нарушение содержания территории; сосновское на есенина 7к1; ул летчика лихолетова 14/2; мусорной реформы от 01; на работу в 5-30; ни разу за 2; ул. беринга 3; ул. дыбенко 27-3; шоссе дома с 170,загрязнено; не убирает; задержано; отсутствует; опасно; повреждено; затоплено; не устраняет; сообщает о проблеме,40
kp_0006,парк/сквер: нарушение содержания территории,благоустройство,0.343,23,2,9,47,0.458769,сосновское на есенина 7к1; ни разу за 2; проезд между домами 55; рижский проспект 62; примерно 15-20; шоссе дома с 170; хошимина корпуса 1и; снег у дома 38,нарушение содержания территории,парк/сквер; жители; управляющая компания; нарушение содержания территории; сосновское на есенина 7к1; ни разу за 2; проезд между домами 55; рижский проспект 62; примерно 15-20; шоссе дома с 170; хошимина корпуса 1и; снег у дома 38,не убирает; загрязнено; задержано; отсутствует; сообщает о проблеме; опасно; повреждено; затоплено; не устраняет,23
kp_0007,снег и наледь: затопление/протечка,благоустройство,0.319,17,3,7,45,1.0,очистке крыши дома 52; дом по стачек 212 корпус 2; заявки на 004; ул летчика лихолетова 14/2; елизарова 31; на улице руставели 59; понедельник 21; хошимина корпуса 1и,затопление/протечка,снег и наледь; жители; управляющая компания; подрядчик; затопление/протечка; очистке крыши дома 52; дом по стачек 212 корпус 2; заявки на 004; ул летчика лихолетова 14/2; елизарова 31; на улице руставели 59; понедельник 21,затоплено; не убирает; повреждено; опасно; загрязнено; задержано; не устраняет,17
kp_0008,здание/дом: аварийное состояние,жилищно-коммунальное,0.316,17,3,7,35,0.740991,очистке крыши дома 52; из льда составляет 15; ул народная д2; преклонный возраст 85; ул. краснопутиллвской в доме 61сидим; дома по костромскому 42; парадная 5; чудновского дом 1,аварийное состояние,здание/дом; жители; управляющая компания; администрация; аварийное состояние; очистке крыши дома 52; из льда составляет 15; ул народная д2; преклонный возраст 85; ул. краснопутиллвской в доме 61сидим; дома по костромскому 42; парадная 5,опасно; повреждено; задержано; отсутствует; затоплено; не убирает; сообщает о проблеме,17
kp_0009,здание/дом: затопление/протечка,жилищно-коммунальное,0.316,13,4,8,44,1.0,декабря 21г; очистке крыши дома 52; дом по стачек 212 корпус 2; по адресу бухарестская 31-5; проспект луначарского 84к4; дом постройки 1988; понедельник 21; хошимина корпуса 1и,затопление/протечка,здание/дом; жители; управляющая компания; администрация; подрядчик; затопление/протечка; декабря 21г; очистке крыши дома 52; дом по стачек 212 корпус 2; по адресу бухарестская 31-5; проспект луначарского 84к4; дом постройки 1988,затоплено; задержано; не убирает; повреждено; не устраняет; опасно; загрязнено; отсутствует,13
kp_0010,здание/дом: бездействие исполнителя,жилищно-коммунальное,0.313,13,3,9,34,1.0,декабря 21г; дом по стачек 212 корпус 2; ярослава гашека лом 12/100; писала обращение 174963796; проезд между домами 55; понедельник 21; мини трактор через 10; петергофское шоссе дом 15,бездействие исполнителя,здание/дом; жители; управляющая компания; администрация; бездействие исполнителя; декабря 21г; дом по стачек 212 корпус 2; ярослава гашека лом 12/100; писала обращение 174963796; проезд между домами 55; понедельник 21; мини трактор через 10,задержано; не устраняет; затоплено; не убирает; отсутствует; повреждено; сообщает о проблеме; загрязнено; опасно,13
